pais,n_preguntas,dispersion_promedio,ranking_cobertura
mexico,15,1.992269515991211,1
republica dominicana,15,1.9368879795074463,2
argentina,15,1.9107656478881836,3
nicaragua,15,1.8737294673919678,4
venezuela,15,1.8463904857635498,5
bolivia,15,1.808779239654541,6
paraguay,15,1.808225154876709,7
peru,15,1.7833784818649292,8
el salvador,15,1.7803168296813965,9
panama,15,1.7721951007843018,10
colombia,15,1.7282733917236328,11
ecuador,15,1.7130448818206787,12
costa rica,15,1.7034791707992554,13
uruguay,15,1.6415308713912964,14
honduras,15,1.5861053466796875,15
cuba,15,1.5773704051971436,16
chile,15,1.5729196071624756,17
guatemala,15,1.5473692417144775,18
