model,pais,dispersion_promedio,pct_alucinacion,mae,n_preguntas,n_preguntas_judged
Claude,mexico,1.992269515991211,20.0,0.5259127775828044,15,15
Claude,republica dominicana,1.9368879795074463,20.0,0.630109137793382,15,15
Claude,argentina,1.910765647888184,20.0,0.6600413095826904,15,15
Claude,nicaragua,1.873729467391968,20.0,0.5675214231014252,15,15
Claude,venezuela,1.8463904857635496,40.0,0.6341927508513133,15,15
Claude,bolivia,1.808779239654541,20.0,0.4970348874727885,15,15
Claude,paraguay,1.808225154876709,26.67,0.5434083233277003,15,15
Claude,peru,1.7833784818649292,20.0,0.4725402275721232,15,15
Claude,el salvador,1.7803168296813965,20.0,0.5042885879675547,15,15
Claude,panama,1.7721951007843018,26.67,0.6267907559871674,15,15
Claude,colombia,1.7282733917236328,20.0,0.5682633896668752,15,15
Claude,ecuador,1.7130448818206787,20.0,0.5585712065299352,15,15
Claude,costa rica,1.7034791707992554,26.67,0.5238184933861096,15,15
Claude,uruguay,1.6415308713912964,20.0,0.5579797754685084,15,15
Claude,honduras,1.5861053466796875,40.0,0.6009204606215159,15,15
Claude,cuba,1.5773704051971436,26.67,0.5123660147190094,15,15
Claude,chile,1.5729196071624756,6.67,0.6277568479379018,15,15
Claude,guatemala,1.5473692417144775,40.0,0.5549943486849467,15,15
