model,pais,dispersion_promedio,pct_alucinacion,mae,n_preguntas,n_preguntas_judged
GPT,mexico,1.992269515991211,40.0,0.499759179353714,15,15
GPT,republica dominicana,1.9368879795074463,13.33,0.5297028576334317,15,15
GPT,argentina,1.910765647888184,53.33,0.6438265275210142,15,15
GPT,nicaragua,1.873729467391968,40.0,0.5760372459888459,15,15
GPT,venezuela,1.8463904857635496,46.67,0.600542937964201,15,15
GPT,bolivia,1.808779239654541,26.67,0.455146594842275,15,15
GPT,paraguay,1.808225154876709,26.67,0.5011588315169017,15,15
GPT,peru,1.7833784818649292,13.33,0.5147229154904683,15,15
GPT,el salvador,1.7803168296813965,13.33,0.4842022160689036,15,15
GPT,panama,1.7721951007843018,40.0,0.5972031945983569,15,15
GPT,colombia,1.7282733917236328,40.0,0.496924509977301,15,15
GPT,ecuador,1.7130448818206787,20.0,0.50098028977712,15,15
GPT,costa rica,1.7034791707992554,33.33,0.4924816568692525,15,15
GPT,uruguay,1.6415308713912964,40.0,0.5290762652953466,15,15
GPT,honduras,1.5861053466796875,40.0,0.5666989346345266,15,15
GPT,cuba,1.5773704051971436,33.33,0.5258759054044883,15,15
GPT,chile,1.5729196071624756,26.67,0.6445619404315949,15,15
GPT,guatemala,1.5473692417144775,46.67,0.6376243352890014,15,15
