Entity,Country,Category,Difficulty,pais,umap_x,umap_y
Dorada Pampeana,Argentina,dish,DIFÍCIL,argentina,3.106221,-0.50077
antonio gonzaga,argentina,dish,FÁCIL,argentina,-0.35753694,1.5844408
Bamiyeh,Argentina,dish,INTERMEDIA,argentina,3.1677828,5.3904185
Abrothrix lanosus,Argentina,fauna,DIFÍCIL,argentina,3.6524901,-0.5604286
Trachemys dorbigni,Argentina,fauna,FÁCIL,argentina,4.141482,-2.3165865
Lysapsus limellum,Argentina,fauna,INTERMEDIA,argentina,5.1483364,-0.27851206
alstroemeria apertiflora,argentina,flora,DIFÍCIL,argentina,4.6468616,-1.6629574
Tillandsia peiranoi,Argentina,flora,FÁCIL,argentina,5.2941904,-2.0716982
Echinopsis thelegona,Argentina,flora,INTERMEDIA,argentina,4.7924848,-0.9946444
bahía relegada,argentina,geography,DIFÍCIL,argentina,3.2892776,0.61055225
corregimiento de aconcagua,argentina,geography,FÁCIL,argentina,1.6399888,0.906096
bahía golondrina (bahía),argentina,geography,INTERMEDIA,argentina,4.1508036,0.88541687
Quinteto Santa Fe,Argentina,tradition,DIFÍCIL,argentina,1.2547077,1.4591537
raúl barboza,argentina,tradition,FÁCIL,argentina,-0.29758614,1.655778
oscar alem,argentina,tradition,INTERMEDIA,argentina,0.22446968,2.5222082
sajta de pollo,bolivia,dish,DIFÍCIL,bolivia,2.3345513,2.3690305
majadito,bolivia,dish,FÁCIL,bolivia,2.1734262,4.0340185
Sopa de cacahuete,Bolivia,dish,INTERMEDIA,bolivia,3.3361294,4.893415
Pseudastur albicollis,Bolivia,fauna,DIFÍCIL,bolivia,4.058192,-2.1624718
spectrolebias bellidoi,bolivia,fauna,FÁCIL,bolivia,4.465385,-2.2302697
acanthopoma annectens,bolivia,fauna,INTERMEDIA,bolivia,4.315783,-1.1371863
parque regional yacuma,bolivia,geography,DIFÍCIL,bolivia,3.8505201,0.10209716
