pais,model,n_total,n_correcta,pct_correcta,n_parcial,pct_parcial,n_alucinacion,pct_alucinacion,n_abstencion,pct_abstencion,confiable,nota,pct_alucinacion_ci_lower,pct_alucinacion_ci_upper
venezuela,Claude,15,3,20.0,2,13.33,6,40.0,4,26.67,True,,20.0,66.67
guatemala,Claude,15,4,26.67,6,40.0,5,33.33,0,0.0,True,,13.33,60.0
honduras,Claude,15,1,6.67,6,40.0,4,26.67,4,26.67,True,,6.67,46.67
paraguay,Claude,15,4,26.67,4,26.67,4,26.67,3,20.0,True,,6.67,46.67
bolivia,Claude,15,3,20.0,5,33.33,3,20.0,4,26.67,True,,0.0,40.0
costa rica,Claude,15,6,40.0,5,33.33,3,20.0,1,6.67,True,,0.0,40.0
ecuador,Claude,15,4,26.67,6,40.0,3,20.0,2,13.33,True,,0.0,40.0
mexico,Claude,15,4,26.67,5,33.33,3,20.0,3,20.0,True,,0.0,40.0
panama,Claude,15,3,20.0,6,40.0,3,20.0,3,20.0,True,,0.0,40.17
republica dominicana,Claude,15,5,33.33,5,33.33,3,20.0,2,13.33,True,,0.0,40.0
argentina,Claude,15,5,33.33,3,20.0,2,13.33,5,33.33,True,,0.0,33.33
colombia,Claude,15,6,40.0,4,26.67,2,13.33,3,20.0,True,,0.0,33.33
cuba,Claude,15,6,40.0,6,40.0,2,13.33,1,6.67,True,,0.0,33.33
el salvador,Claude,15,6,40.0,6,40.0,2,13.33,1,6.67,True,,0.0,33.33
nicaragua,Claude,15,5,33.33,4,26.67,2,13.33,4,26.67,True,,0.0,33.33
peru,Claude,15,9,60.0,3,20.0,2,13.33,1,6.67,True,,0.0,33.33
uruguay,Claude,15,6,40.0,4,26.67,2,13.33,3,20.0,True,,0.0,33.33
chile,Claude,15,3,20.0,7,46.67,1,6.67,4,26.67,True,,0.0,20.0
argentina,GPT,15,2,13.33,6,40.0,7,46.67,0,0.0,True,,20.0,73.33
guatemala,GPT,15,2,13.33,6,40.0,7,46.67,0,0.0,True,,20.0,73.33
mexico,GPT,15,3,20.0,5,33.33,7,46.67,0,0.0,True,,20.0,73.33
colombia,GPT,15,5,33.33,4,26.67,6,40.0,0,0.0,True,,13.33,66.67
venezuela,GPT,15,3,20.0,4,26.67,6,40.0,2,13.33,True,,19.83,66.67
costa rica,GPT,15,4,26.67,6,40.0,5,33.33,0,0.0,True,,13.33,60.0
cuba,GPT,15,6,40.0,4,26.67,5,33.33,0,0.0,True,,13.33,60.0
honduras,GPT,15,4,26.67,6,40.0,5,33.33,0,0.0,True,,13.33,53.5
panama,GPT,15,2,13.33,7,46.67,5,33.33,1,6.67,True,,13.33,60.0
bolivia,GPT,15,1,6.67,9,60.0,4,26.67,1,6.67,True,,6.67,53.33
nicaragua,GPT,15,3,20.0,7,46.67,4,26.67,1,6.67,True,,6.67,53.33
uruguay,GPT,15,3,20.0,8,53.33,4,26.67,0,0.0,True,,6.67,53.33
chile,GPT,15,2,13.33,10,66.67,3,20.0,0,0.0,True,,0.0,40.0
ecuador,GPT,15,3,20.0,9,60.0,3,20.0,0,0.0,True,,6.5,40.0
paraguay,GPT,15,5,33.33,7,46.67,3,20.0,0,0.0,True,,0.0,40.0
republica dominicana,GPT,15,5,33.33,8,53.33,2,13.33,0,0.0,True,,0.0,33.33
el salvador,GPT,15,4,26.67,9,60.0,1,6.67,1,6.67,True,,0.0,20.0
peru,GPT,15,4,26.67,10,66.67,1,6.67,0,0.0,True,,0.0,20.0
