pais,model,n_judged,n_correcta,pct_correcta,n_parcial,pct_parcial,n_alucinacion,pct_alucinacion,n_abstencion,pct_abstencion
argentina,Claude,15,5,33.33,3,20.0,2,13.33,5,33.33
bolivia,Claude,15,3,20.0,5,33.33,3,20.0,4,26.67
chile,Claude,15,3,20.0,7,46.67,1,6.67,4,26.67
colombia,Claude,15,6,40.0,4,26.67,2,13.33,3,20.0
costa rica,Claude,15,6,40.0,5,33.33,3,20.0,1,6.67
cuba,Claude,15,6,40.0,6,40.0,2,13.33,1,6.67
ecuador,Claude,15,4,26.67,6,40.0,3,20.0,2,13.33
el salvador,Claude,15,6,40.0,6,40.0,2,13.33,1,6.67
guatemala,Claude,15,4,26.67,6,40.0,5,33.33,0,0.0
honduras,Claude,15,1,6.67,6,40.0,4,26.67,4,26.67
mexico,Claude,15,4,26.67,5,33.33,3,20.0,3,20.0
nicaragua,Claude,15,5,33.33,4,26.67,2,13.33,4,26.67
panama,Claude,15,3,20.0,6,40.0,3,20.0,3,20.0
paraguay,Claude,15,4,26.67,4,26.67,4,26.67,3,20.0
peru,Claude,15,9,60.0,3,20.0,2,13.33,1,6.67
republica dominicana,Claude,15,5,33.33,5,33.33,3,20.0,2,13.33
uruguay,Claude,15,6,40.0,4,26.67,2,13.33,3,20.0
venezuela,Claude,15,3,20.0,2,13.33,6,40.0,4,26.67
argentina,GPT,15,2,13.33,6,40.0,7,46.67,0,0.0
bolivia,GPT,15,1,6.67,9,60.0,4,26.67,1,6.67
chile,GPT,15,2,13.33,10,66.67,3,20.0,0,0.0
colombia,GPT,15,5,33.33,4,26.67,6,40.0,0,0.0
costa rica,GPT,15,4,26.67,6,40.0,5,33.33,0,0.0
cuba,GPT,15,6,40.0,4,26.67,5,33.33,0,0.0
ecuador,GPT,15,3,20.0,9,60.0,3,20.0,0,0.0
el salvador,GPT,15,4,26.67,9,60.0,1,6.67,1,6.67
guatemala,GPT,15,2,13.33,6,40.0,7,46.67,0,0.0
honduras,GPT,15,4,26.67,6,40.0,5,33.33,0,0.0
mexico,GPT,15,3,20.0,5,33.33,7,46.67,0,0.0
nicaragua,GPT,15,3,20.0,7,46.67,4,26.67,1,6.67
panama,GPT,15,2,13.33,7,46.67,5,33.33,1,6.67
paraguay,GPT,15,5,33.33,7,46.67,3,20.0,0,0.0
peru,GPT,15,4,26.67,10,66.67,1,6.67,0,0.0
republica dominicana,GPT,15,5,33.33,8,53.33,2,13.33,0,0.0
uruguay,GPT,15,3,20.0,8,53.33,4,26.67,0,0.0
venezuela,GPT,15,3,20.0,4,26.67,6,40.0,2,13.33
