pais,method,mae_observed,mae_expected_from_category_mix,mae_composition_residual,n_preguntas,confiable_pais,hard_category_share,hard_category_share_global,hard_category_overrepresentation,top_overrepresented_category,top_overrepresentation_delta,interpretacion
argentina,Claude,0.6600413095826904,0.5584929831923883,0.10154832639030209,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,MAE peor de lo que explica la mezcla de categorias
republica dominicana,Claude,0.630109137793382,0.5647347660699307,0.06537437172345129,15,True,0.0,0.2111111111111111,-0.2111111111111111,object,0.13333333333333336,sub-representacion de categorias dificiles; MAE peor de lo que explica la mezcla de categorias
chile,Claude,0.6277568479379018,0.5638538762904048,0.06390297164749692,15,True,0.4,0.2111111111111111,0.1888888888888889,public_figure,0.16666666666666669,"sobre-representacion de categorias dificiles (public_figure, tradition); MAE peor de lo que explica la mezcla de categorias; categoria mas sobre-representada: public_figure"
venezuela,Claude,0.6341927508513133,0.5789190580927126,0.05527369275860072,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,MAE peor de lo que explica la mezcla de categorias
panama,Claude,0.6267907559871674,0.5789190580927126,0.04787169789445478,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,MAE peor de lo que explica la mezcla de categorias
honduras,Claude,0.6009204606215159,0.5584929831923883,0.04242747742912767,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,MAE peor de lo que explica la mezcla de categorias
nicaragua,Claude,0.5675214231014252,0.5584929831923883,0.0090284399090369,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,mezcla de categorias alineada con el promedio global
ecuador,Claude,0.5585712065299352,0.5584929831923883,7.822333754692323e-05,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,mezcla de categorias alineada con el promedio global
uruguay,Claude,0.5579797754685084,0.5584929831923883,-0.0005132077238798605,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,mezcla de categorias alineada con el promedio global
guatemala,Claude,0.5549943486849467,0.5584929831923883,-0.003498634507441589,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,mezcla de categorias alineada con el promedio global
colombia,Claude,0.5682633896668752,0.577399700265738,-0.009136310598862774,15,True,0.4,0.2111111111111111,0.1888888888888889,public_figure,0.16666666666666669,"sobre-representacion de categorias dificiles (public_figure, tradition); categoria mas sobre-representada: public_figure"
paraguay,Claude,0.5434083233277003,0.5653732341173795,-0.021964910789679215,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,mezcla de categorias alineada con el promedio global
costa rica,Claude,0.5238184933861096,0.5584929831923883,-0.03467448980627863,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,MAE mejor de lo que explica la mezcla de categorias
mexico,Claude,0.5259127775828044,0.5687397102577114,-0.042826932674907,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,MAE mejor de lo que explica la mezcla de categorias
cuba,Claude,0.5123660147190094,0.5647347660699307,-0.05236875135092123,15,True,0.0,0.2111111111111111,-0.2111111111111111,object,0.13333333333333336,sub-representacion de categorias dificiles; MAE mejor de lo que explica la mezcla de categorias
el salvador,Claude,0.5042885879675547,0.5584929831923883,-0.05420439522483356,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,MAE mejor de lo que explica la mezcla de categorias
bolivia,Claude,0.4970348874727885,0.577399700265738,-0.08036481279294944,15,True,0.4,0.2111111111111111,0.1888888888888889,public_figure,0.16666666666666669,"sobre-representacion de categorias dificiles (public_figure, tradition); MAE mejor de lo que explica la mezcla de categorias; categoria mas sobre-representada: public_figure"
peru,Claude,0.4725402275721232,0.5584929831923883,-0.08595275562026505,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,MAE mejor de lo que explica la mezcla de categorias
argentina,GPT,0.6438265275210142,0.5372928957190289,0.10653363180198527,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,MAE peor de lo que explica la mezcla de categorias
guatemala,GPT,0.6376243352890014,0.5372928957190289,0.10033143956997248,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,MAE peor de lo que explica la mezcla de categorias
chile,GPT,0.6445619404315949,0.5597203925142611,0.08484154791733378,15,True,0.4,0.2111111111111111,0.1888888888888889,public_figure,0.16666666666666669,"sobre-representacion de categorias dificiles (public_figure, tradition); MAE peor de lo que explica la mezcla de categorias; categoria mas sobre-representada: public_figure"
venezuela,GPT,0.600542937964201,0.5487680502754813,0.05177488768871974,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,MAE peor de lo que explica la mezcla de categorias
panama,GPT,0.5972031945983569,0.5487680502754813,0.048435144322875656,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,MAE peor de lo que explica la mezcla de categorias
nicaragua,GPT,0.5760372459888459,0.5372928957190289,0.03874435026981693,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,MAE peor de lo que explica la mezcla de categorias
honduras,GPT,0.5666989346345266,0.5372928957190289,0.029406038915497645,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,mezcla de categorias alineada con el promedio global
uruguay,GPT,0.5290762652953466,0.5372928957190289,-0.00821663042368237,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,mezcla de categorias alineada con el promedio global
republica dominicana,GPT,0.5297028576334317,0.5426944356897356,-0.01299157805630391,15,True,0.0,0.2111111111111111,-0.2111111111111111,object,0.13333333333333336,sub-representacion de categorias dificiles
cuba,GPT,0.5258759054044883,0.5426944356897356,-0.01681853028524738,15,True,0.0,0.2111111111111111,-0.2111111111111111,object,0.13333333333333336,sub-representacion de categorias dificiles
peru,GPT,0.5147229154904683,0.5372928957190289,-0.022569980228560604,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,mezcla de categorias alineada con el promedio global
ecuador,GPT,0.50098028977712,0.5372928957190289,-0.03631260594190899,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,MAE mejor de lo que explica la mezcla de categorias
paraguay,GPT,0.5011588315169017,0.5454538995497682,-0.044295068032866536,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,MAE mejor de lo que explica la mezcla de categorias
costa rica,GPT,0.49248165686925255,0.5372928957190289,-0.04481123884977639,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,MAE mejor de lo que explica la mezcla de categorias
mexico,GPT,0.499759179353714,0.546721926711071,-0.046962747357357004,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,MAE mejor de lo que explica la mezcla de categorias
el salvador,GPT,0.4842022160689036,0.5372928957190289,-0.053090679650125316,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,MAE mejor de lo que explica la mezcla de categorias
