pais,category,mae,n_preguntas,method
argentina,dish,0.6950445820887884,3,Claude
argentina,fauna,0.592508872350057,3,Claude
argentina,flora,0.571035717924436,3,Claude
argentina,geography,0.6793912947177887,3,Claude
argentina,tradition,0.7622260808323821,3,Claude
bolivia,dish,0.40785518288612366,3,Claude
bolivia,fauna,0.5145605504512787,3,Claude
bolivia,geography,0.548299103975296,3,Claude
bolivia,public_figure,0.529051144917806,3,Claude
bolivia,tradition,0.4854084551334381,3,Claude
chile,dish,0.5779780149459839,3,Claude
chile,flora,0.6272460420926412,3,Claude
chile,geography,0.5813308159510294,3,Claude
chile,public_figure,0.6830841600894928,3,Claude
chile,tradition,0.6691452066103617,3,Claude
colombia,dish,0.665315588315328,3,Claude
colombia,fauna,0.5398314793904623,3,Claude
colombia,geography,0.36615995566050213,3,Claude
colombia,public_figure,0.5994444067279497,3,Claude
colombia,tradition,0.6705655182401339,3,Claude
costa rica,dish,0.312717080116272,3,Claude
costa rica,fauna,0.5741695364316305,3,Claude
costa rica,flora,0.5144262711207072,3,Claude
costa rica,geography,0.5977178340156873,3,Claude
costa rica,tradition,0.6200617452462515,3,Claude
cuba,dish,0.5467087229092916,3,Claude
cuba,fauna,0.534191499153773,3,Claude
cuba,flora,0.5127370357513428,3,Claude
cuba,geography,0.4762161076068878,3,Claude
cuba,object,0.49197670817375183,3,Claude
ecuador,dish,0.47138524055480957,3,Claude
ecuador,fauna,0.6181776523590088,3,Claude
ecuador,flora,0.46857403715451557,3,Claude
ecuador,geography,0.5279024690389633,3,Claude
ecuador,tradition,0.7068166335423788,3,Claude
el salvador,dish,0.5128906667232513,3,Claude
el salvador,fauna,0.44432321190834045,3,Claude
el salvador,flora,0.44123419125874835,3,Claude
el salvador,geography,0.5330593486626943,3,Claude
el salvador,tradition,0.5899355212847391,3,Claude
guatemala,dish,0.6564642985661825,3,Claude
guatemala,fauna,0.6377773582935333,3,Claude
guatemala,flora,0.38395504156748456,3,Claude
guatemala,geography,0.5970172882080078,3,Claude
guatemala,tradition,0.49975775678952533,3,Claude
honduras,dish,0.6609970380862554,3,Claude
honduras,fauna,0.5811810195446014,3,Claude
honduras,flora,0.6006986002127329,3,Claude
honduras,geography,0.6839904536803564,3,Claude
honduras,tradition,0.4777351915836334,3,Claude
mexico,dish,0.4645177324612935,3,Claude
mexico,fauna,0.6300471425056458,3,Claude
mexico,flora,0.42439276973406476,3,Claude
mexico,object,0.5827270050843557,3,Claude
mexico,tradition,0.5278792381286621,3,Claude
nicaragua,dish,0.5356657306353251,3,Claude
nicaragua,fauna,0.5682482123374939,3,Claude
nicaragua,flora,0.5484704474608103,3,Claude
nicaragua,geography,0.6731285899877548,3,Claude
nicaragua,tradition,0.5120941350857416,3,Claude
panama,dish,0.5515382488568624,3,Claude
panama,fauna,0.7148611843585968,3,Claude
panama,geography,0.7431929111480713,3,Claude
panama,object,0.5821290214856466,3,Claude
panama,tradition,0.5422324140866598,3,Claude
paraguay,dish,0.47994450728098553,3,Claude
paraguay,flora,0.4024108250935872,3,Claude
paraguay,geography,0.5758609970410665,3,Claude
paraguay,object,0.6529923975467682,3,Claude
paraguay,tradition,0.605832889676094,3,Claude
peru,dish,0.6290005644162496,3,Claude
peru,fauna,0.6647764345010122,3,Claude
peru,flora,0.4908861617247264,3,Claude
peru,geography,0.36752065022786456,3,Claude
