pais,model,n_total,n_correcta,pct_correcta,pct_correcta_ci_lower,pct_correcta_ci_upper,n_parcial,pct_parcial,pct_parcial_ci_lower,pct_parcial_ci_upper,n_alucinacion,pct_alucinacion,pct_alucinacion_ci_lower,pct_alucinacion_ci_upper,n_abstencion,pct_abstencion,pct_abstencion_ci_lower,pct_abstencion_ci_upper,confiable,nota
guatemala,Claude,15,2,13.33,0.0,33.33,7,46.67,20.0,73.33,6,40.0,20.0,60.0,0,0.0,0.0,0.0,True,
honduras,Claude,15,1,6.67,0.0,20.0,4,26.67,6.67,46.83,6,40.0,13.33,60.17,4,26.67,6.67,53.33,True,
venezuela,Claude,15,3,20.0,0.0,40.0,2,13.33,0.0,33.33,6,40.0,19.83,66.67,4,26.67,6.67,46.67,True,
costa rica,Claude,15,6,40.0,13.33,66.67,4,26.67,6.67,46.67,4,26.67,6.67,46.67,1,6.67,0.0,20.0,True,
cuba,Claude,15,4,26.67,6.67,53.33,6,40.0,13.33,66.67,4,26.67,6.67,46.67,1,6.67,0.0,20.0,True,
panama,Claude,15,2,13.33,0.0,33.33,6,40.0,13.33,66.67,4,26.67,6.67,53.33,3,20.0,0.0,40.0,True,
paraguay,Claude,15,2,13.33,0.0,33.33,6,40.0,19.83,66.67,4,26.67,6.67,46.67,3,20.0,0.0,40.0,True,
argentina,Claude,15,5,33.33,13.33,60.0,2,13.33,0.0,33.33,3,20.0,0.0,40.0,5,33.33,13.33,60.0,True,
bolivia,Claude,15,4,26.67,6.67,46.67,4,26.67,6.67,46.83,3,20.0,0.0,40.0,4,26.67,6.67,46.67,True,
colombia,Claude,15,5,33.33,13.33,53.5,4,26.67,6.67,46.67,3,20.0,0.0,40.17,3,20.0,0.0,46.67,True,
ecuador,Claude,15,2,13.33,0.0,33.33,8,53.33,26.67,80.0,3,20.0,0.0,40.0,2,13.33,0.0,33.33,True,
el salvador,Claude,15,3,20.0,0.0,40.0,8,53.33,26.67,80.0,3,20.0,0.0,46.67,1,6.67,0.0,20.0,True,
mexico,Claude,15,4,26.67,6.67,46.83,5,33.33,13.33,60.0,3,20.0,0.0,40.0,3,20.0,0.0,40.0,True,
nicaragua,Claude,15,4,26.67,6.67,53.33,4,26.67,6.67,46.67,3,20.0,0.0,40.0,4,26.67,6.67,53.33,True,
peru,Claude,15,9,60.0,33.33,80.0,2,13.33,0.0,33.33,3,20.0,0.0,46.67,1,6.67,0.0,20.0,True,
republica dominicana,Claude,15,3,20.0,0.0,40.0,7,46.67,20.0,66.83,3,20.0,0.0,40.0,2,13.33,0.0,26.67,True,
uruguay,Claude,15,2,13.33,0.0,33.33,7,46.67,20.0,73.33,3,20.0,0.0,40.0,3,20.0,0.0,40.0,True,
chile,Claude,15,3,20.0,0.0,40.0,7,46.67,20.0,73.33,1,6.67,0.0,20.0,4,26.67,6.67,46.67,True,
argentina,GPT,15,2,13.33,0.0,33.33,5,33.33,13.33,60.0,8,53.33,26.67,80.0,0,0.0,0.0,0.0,True,
guatemala,GPT,15,3,20.0,0.0,40.0,5,33.33,13.33,60.0,7,46.67,20.0,73.33,0,0.0,0.0,0.0,True,
venezuela,GPT,15,3,20.0,0.0,40.0,3,20.0,0.0,40.0,7,46.67,20.0,73.33,2,13.33,0.0,33.33,True,
colombia,GPT,15,4,26.67,6.67,53.33,5,33.33,13.33,60.0,6,40.0,13.33,66.67,0,0.0,0.0,0.0,True,
honduras,GPT,15,3,20.0,0.0,40.0,6,40.0,20.0,66.67,6,40.0,20.0,66.67,0,0.0,0.0,0.0,True,
mexico,GPT,15,3,20.0,0.0,40.0,6,40.0,13.33,66.67,6,40.0,13.33,66.67,0,0.0,0.0,0.0,True,
nicaragua,GPT,15,2,13.33,0.0,33.33,6,40.0,20.0,66.67,6,40.0,13.33,66.67,1,6.67,0.0,20.0,True,
panama,GPT,15,2,13.33,0.0,33.33,7,46.67,20.0,73.33,6,40.0,20.0,66.67,0,0.0,0.0,0.0,True,
uruguay,GPT,15,3,20.0,0.0,40.0,6,40.0,13.33,66.67,6,40.0,13.33,60.0,0,0.0,0.0,0.0,True,
costa rica,GPT,15,4,26.67,6.67,53.33,6,40.0,20.0,66.67,5,33.33,13.33,60.0,0,0.0,0.0,0.0,True,
cuba,GPT,15,7,46.67,20.0,73.33,3,20.0,0.0,40.0,5,33.33,13.33,60.0,0,0.0,0.0,0.0,True,
bolivia,GPT,15,2,13.33,0.0,33.33,8,53.33,26.67,80.0,4,26.67,6.67,53.33,1,6.67,0.0,20.0,True,
chile,GPT,15,2,13.33,0.0,33.33,9,60.0,33.33,80.0,4,26.67,6.67,53.33,0,0.0,0.0,0.0,True,
paraguay,GPT,15,6,40.0,13.33,66.67,5,33.33,13.33,60.0,4,26.67,6.67,53.33,0,0.0,0.0,0.0,True,
ecuador,GPT,15,3,20.0,0.0,40.0,9,60.0,33.33,86.67,3,20.0,0.0,40.0,0,0.0,0.0,0.0,True,
el salvador,GPT,15,3,20.0,0.0,40.0,10,66.67,40.0,86.67,2,13.33,0.0,33.33,0,0.0,0.0,0.0,True,
peru,GPT,15,3,20.0,0.0,40.0,10,66.67,40.0,86.67,2,13.33,0.0,33.33,0,0.0,0.0,0.0,True,
republica dominicana,GPT,15,5,33.33,6.67,53.33,8,53.33,26.67,80.0,2,13.33,0.0,33.33,0,0.0,0.0,0.0,True,
