interseccion,mae,n_preguntas,confiable,nota,mae_ci_lower,mae_ci_upper,mae_margin,method,config,group_level
panama_geography_FÁCIL,1.0,1,False,muestra insuficiente — no interpretar como tendencia,1.0,1.0,0.0,GPT,CHOCLO,interseccion
colombia_public_figure_FÁCIL,0.9873437192291021,1,False,muestra insuficiente — no interpretar como tendencia,0.9873437192291021,0.9873437192291021,0.0,GPT,CHOCLO,interseccion
argentina_tradition_INTERMEDIA,0.9854693431407213,1,False,muestra insuficiente — no interpretar como tendencia,0.9854693431407213,0.9854693431407213,0.0,GPT,CHOCLO,interseccion
argentina_dish_FÁCIL,0.9817666411399841,1,False,muestra insuficiente — no interpretar como tendencia,0.9817666411399841,0.9817666411399841,0.0,GPT,CHOCLO,interseccion
costa rica_geography_INTERMEDIA,0.955268144607544,1,False,muestra insuficiente — no interpretar como tendencia,0.955268144607544,0.955268144607544,0.0,GPT,CHOCLO,interseccion
cuba_fauna_INTERMEDIA,0.9533281587064266,1,False,muestra insuficiente — no interpretar como tendencia,0.9533281587064266,0.9533281587064266,0.0,GPT,CHOCLO,interseccion
venezuela_dish_INTERMEDIA,0.9512841142714024,1,False,muestra insuficiente — no interpretar como tendencia,0.9512841142714024,0.9512841142714024,0.0,GPT,CHOCLO,interseccion
republica dominicana_dish_INTERMEDIA,0.9465363845229149,1,False,muestra insuficiente — no interpretar como tendencia,0.9465363845229149,0.9465363845229149,0.0,GPT,CHOCLO,interseccion
panama_fauna_DIFÍCIL,0.9360790327191353,1,False,muestra insuficiente — no interpretar como tendencia,0.9360790327191353,0.9360790327191353,0.0,GPT,CHOCLO,interseccion
venezuela_tradition_INTERMEDIA,0.9102889075875282,1,False,muestra insuficiente — no interpretar como tendencia,0.9102889075875282,0.9102889075875282,0.0,GPT,CHOCLO,interseccion
cuba_dish_FÁCIL,0.9086895808577538,1,False,muestra insuficiente — no interpretar como tendencia,0.9086895808577538,0.9086895808577538,0.0,GPT,CHOCLO,interseccion
uruguay_dish_FÁCIL,0.903239518404007,1,False,muestra insuficiente — no interpretar como tendencia,0.903239518404007,0.903239518404007,0.0,GPT,CHOCLO,interseccion
costa rica_tradition_DIFÍCIL,0.9013216197490692,1,False,muestra insuficiente — no interpretar como tendencia,0.9013216197490692,0.9013216197490692,0.0,GPT,CHOCLO,interseccion
venezuela_object_INTERMEDIA,0.8836488500237465,1,False,muestra insuficiente — no interpretar como tendencia,0.8836488500237465,0.8836488500237465,0.0,GPT,CHOCLO,interseccion
panama_dish_INTERMEDIA,0.8768364638090134,1,False,muestra insuficiente — no interpretar como tendencia,0.8768364638090134,0.8768364638090134,0.0,GPT,CHOCLO,interseccion
mexico_fauna_DIFÍCIL,0.8748850524425507,1,False,muestra insuficiente — no interpretar como tendencia,0.8748850524425507,0.8748850524425507,0.0,GPT,CHOCLO,interseccion
argentina_geography_INTERMEDIA,0.87409408390522,1,False,muestra insuficiente — no interpretar como tendencia,0.87409408390522,0.87409408390522,0.0,GPT,CHOCLO,interseccion
colombia_tradition_INTERMEDIA,0.8714171797037125,1,False,muestra insuficiente — no interpretar como tendencia,0.8714171797037125,0.8714171797037125,0.0,GPT,CHOCLO,interseccion
guatemala_dish_INTERMEDIA,0.8653384447097778,1,False,muestra insuficiente — no interpretar como tendencia,0.8653384447097778,0.8653384447097778,0.0,GPT,CHOCLO,interseccion
nicaragua_tradition_FÁCIL,0.8627288341522217,1,False,muestra insuficiente — no interpretar como tendencia,0.8627288341522217,0.8627288341522217,0.0,GPT,CHOCLO,interseccion
chile_tradition_INTERMEDIA,0.857646107673645,1,False,muestra insuficiente — no interpretar como tendencia,0.857646107673645,0.857646107673645,0.0,GPT,CHOCLO,interseccion
uruguay_tradition_INTERMEDIA,0.8528762608766556,1,False,muestra insuficiente — no interpretar como tendencia,0.8528762608766556,0.8528762608766556,0.0,GPT,CHOCLO,interseccion
chile_public_figure_INTERMEDIA,0.85222128033638,1,False,muestra insuficiente — no interpretar como tendencia,0.85222128033638,0.85222128033638,0.0,GPT,CHOCLO,interseccion
chile_geography_FÁCIL,0.8518265783786774,1,False,muestra insuficiente — no interpretar como tendencia,0.8518265783786774,0.8518265783786774,0.0,GPT,CHOCLO,interseccion
nicaragua_fauna_INTERMEDIA,0.8440165221691132,1,False,muestra insuficiente — no interpretar como tendencia,0.8440165221691132,0.8440165221691132,0.0,GPT,CHOCLO,interseccion
honduras_flora_INTERMEDIA,0.8433860540390015,1,False,muestra insuficiente — no interpretar como tendencia,0.8433860540390015,0.8433860540390015,0.0,GPT,CHOCLO,interseccion
el salvador_tradition_INTERMEDIA,0.8360585868358612,1,False,muestra insuficiente — no interpretar como tendencia,0.8360585868358612,0.8360585868358612,0.0,GPT,CHOCLO,interseccion
panama_fauna_INTERMEDIA,0.8308701813220978,1,False,muestra insuficiente — no interpretar como tendencia,0.8308701813220978,0.8308701813220978,0.0,GPT,CHOCLO,interseccion
peru_dish_INTERMEDIA,0.8302803933620453,1,False,muestra insuficiente — no interpretar como tendencia,0.8302803933620453,0.8302803933620453,0.0,GPT,CHOCLO,interseccion
chile_dish_FÁCIL,0.827558308839798,1,False,muestra insuficiente — no interpretar como tendencia,0.827558308839798,0.827558308839798,0.0,GPT,CHOCLO,interseccion
honduras_flora_DIFÍCIL,0.8223126530647278,1,False,muestra insuficiente — no interpretar como tendencia,0.8223126530647278,0.8223126530647278,0.0,GPT,CHOCLO,interseccion
mexico_flora_INTERMEDIA,0.817421019077301,1,False,muestra insuficiente — no interpretar como tendencia,0.817421019077301,0.817421019077301,0.0,GPT,CHOCLO,interseccion
nicaragua_geography_FÁCIL,0.8146814405918121,1,False,muestra insuficiente — no interpretar como tendencia,0.8146814405918121,0.8146814405918121,0.0,GPT,CHOCLO,interseccion
argentina_geography_DIFÍCIL,0.8113518357276917,1,False,muestra insuficiente — no interpretar como tendencia,0.8113518357276917,0.8113518357276917,0.0,GPT,CHOCLO,interseccion
bolivia_public_figure_FÁCIL,0.8093894124031067,1,False,muestra insuficiente — no interpretar como tendencia,0.8093894124031067,0.8093894124031067,0.0,GPT,CHOCLO,interseccion
ecuador_geography_FÁCIL,0.8027653694152832,1,False,muestra insuficiente — no interpretar como tendencia,0.8027653694152832,0.8027653694152832,0.0,GPT,CHOCLO,interseccion
peru_flora_INTERMEDIA,0.7961916923522949,1,False,muestra insuficiente — no interpretar como tendencia,0.7961916923522949,0.7961916923522949,0.0,GPT,CHOCLO,interseccion
venezuela_object_DIFÍCIL,0.7910149097442627,1,False,muestra insuficiente — no interpretar como tendencia,0.7910149097442627,0.7910149097442627,0.0,GPT,CHOCLO,interseccion
honduras_tradition_INTERMEDIA,0.7895663678646088,1,False,muestra insuficiente — no interpretar como tendencia,0.7895663678646088,0.7895663678646088,0.0,GPT,CHOCLO,interseccion
honduras_dish_FÁCIL,0.7842921614646912,1,False,muestra insuficiente — no interpretar como tendencia,0.7842921614646912,0.7842921614646912,0.0,GPT,CHOCLO,interseccion
panama_object_FÁCIL,0.7635517418384552,1,False,muestra insuficiente — no interpretar como tendencia,0.7635517418384552,0.7635517418384552,0.0,GPT,CHOCLO,interseccion
cuba_object_FÁCIL,0.7595224380493164,1,False,muestra insuficiente — no interpretar como tendencia,0.7595224380493164,0.7595224380493164,0.0,GPT,CHOCLO,interseccion
uruguay_fauna_FÁCIL,0.7494043409824371,1,False,muestra insuficiente — no interpretar como tendencia,0.7494043409824371,0.7494043409824371,0.0,GPT,CHOCLO,interseccion
bolivia_geography_INTERMEDIA,0.7472653090953827,1,False,muestra insuficiente — no interpretar como tendencia,0.7472653090953827,0.7472653090953827,0.0,GPT,CHOCLO,interseccion
guatemala_fauna_FÁCIL,0.745661199092865,1,False,muestra insuficiente — no interpretar como tendencia,0.745661199092865,0.745661199092865,0.0,GPT,CHOCLO,interseccion
chile_flora_FÁCIL,0.7452483773231506,1,False,muestra insuficiente — no interpretar como tendencia,0.7452483773231506,0.7452483773231506,0.0,GPT,CHOCLO,interseccion
nicaragua_dish_INTERMEDIA,0.7388170957565308,1,False,muestra insuficiente — no interpretar como tendencia,0.7388170957565308,0.7388170957565308,0.0,GPT,CHOCLO,interseccion
mexico_tradition_INTERMEDIA,0.7387229204177856,1,False,muestra insuficiente — no interpretar como tendencia,0.7387229204177856,0.7387229204177856,0.0,GPT,CHOCLO,interseccion
chile_tradition_FÁCIL,0.7371120750904083,1,False,muestra insuficiente — no interpretar como tendencia,0.7371120750904083,0.7371120750904083,0.0,GPT,CHOCLO,interseccion
paraguay_object_INTERMEDIA,0.7345298528671265,1,False,muestra insuficiente — no interpretar como tendencia,0.7345298528671265,0.7345298528671265,0.0,GPT,CHOCLO,interseccion
guatemala_dish_DIFÍCIL,0.7334635853767395,1,False,muestra insuficiente — no interpretar como tendencia,0.7334635853767395,0.7334635853767395,0.0,GPT,CHOCLO,interseccion
paraguay_object_DIFÍCIL,0.7281438708305359,1,False,muestra insuficiente — no interpretar como tendencia,0.7281438708305359,0.7281438708305359,0.0,GPT,CHOCLO,interseccion
republica dominicana_fauna_INTERMEDIA,0.7273213565349579,1,False,muestra insuficiente — no interpretar como tendencia,0.7273213565349579,0.7273213565349579,0.0,GPT,CHOCLO,interseccion
guatemala_fauna_INTERMEDIA,0.727295309305191,1,False,muestra insuficiente — no interpretar como tendencia,0.727295309305191,0.727295309305191,0.0,GPT,CHOCLO,interseccion
mexico_dish_FÁCIL,0.7271263599395752,1,False,muestra insuficiente — no interpretar como tendencia,0.7271263599395752,0.7271263599395752,0.0,GPT,CHOCLO,interseccion
peru_fauna_DIFÍCIL,0.7227061986923218,1,False,muestra insuficiente — no interpretar como tendencia,0.7227061986923218,0.7227061986923218,0.0,GPT,CHOCLO,interseccion
cuba_geography_INTERMEDIA,0.7217142581939697,1,False,muestra insuficiente — no interpretar como tendencia,0.7217142581939697,0.7217142581939697,0.0,GPT,CHOCLO,interseccion
republica dominicana_dish_FÁCIL,0.7182455062866211,1,False,muestra insuficiente — no interpretar como tendencia,0.7182455062866211,0.7182455062866211,0.0,GPT,CHOCLO,interseccion
ecuador_dish_FÁCIL,0.7128766179084778,1,False,muestra insuficiente — no interpretar como tendencia,0.7128766179084778,0.7128766179084778,0.0,GPT,CHOCLO,interseccion
panama_dish_FÁCIL,0.7088780999183655,1,False,muestra insuficiente — no interpretar como tendencia,0.7088780999183655,0.7088780999183655,0.0,GPT,CHOCLO,interseccion
