pais,mae,n_preguntas,confiable,nota,mae_ci_lower,mae_ci_upper,mae_margin,method,config,group_level
chile,0.6445619404315949,15,True,,0.5608030173679193,0.7331608310341835,0.08617890683313212,GPT,CHOCLO,pais
argentina,0.6438265275210142,15,True,,0.5615325948347648,0.7348159323415409,0.08664166875338802,GPT,CHOCLO,pais
guatemala,0.6376243352890014,15,True,,0.5819963644941648,0.6945630748569965,0.05628335518141586,GPT,CHOCLO,pais
venezuela,0.600542937964201,15,True,,0.4956316723798712,0.7045264366207024,0.10444738212041557,GPT,CHOCLO,pais
panama,0.5972031945983569,15,True,,0.48280874171604715,0.7161176856855551,0.11665447198475398,GPT,CHOCLO,pais
nicaragua,0.5760372459888459,15,True,,0.48437900106112164,0.6691064721345902,0.09236373553673427,GPT,CHOCLO,pais
honduras,0.5666989346345266,15,True,,0.46454520970582963,0.6579918543497721,0.09672332232197126,GPT,CHOCLO,pais
republica dominicana,0.5297028576334317,15,True,,0.43581622043003637,0.6178011274337769,0.09099245350187027,GPT,CHOCLO,pais
uruguay,0.5290762652953466,15,True,,0.4473474274327358,0.632117040331165,0.0923848064492146,GPT,CHOCLO,pais
cuba,0.5258759054044883,15,True,,0.40094470952947936,0.6394719137934346,0.11926360213197762,GPT,CHOCLO,pais
peru,0.5147229154904683,15,True,,0.4216075352331003,0.6106429727872212,0.09451771877706047,GPT,CHOCLO,pais
paraguay,0.5011588315169017,15,True,,0.41919839094082517,0.5803941584130128,0.0805978837360938,GPT,CHOCLO,pais
ecuador,0.50098028977712,15,True,,0.4339897971848647,0.5741554478307564,0.07008282532294588,GPT,CHOCLO,pais
mexico,0.499759179353714,15,True,,0.3900588889916738,0.6072618089616298,0.10860145998497803,GPT,CHOCLO,pais
colombia,0.496924509977301,15,True,,0.3979509907712539,0.5991329028302183,0.10059095602948218,GPT,CHOCLO,pais
costa rica,0.49248165686925255,15,True,,0.3729336709280809,0.6093669487039248,0.11821663888792197,GPT,CHOCLO,pais
el salvador,0.4842022160689036,15,True,,0.41243757084012034,0.5633860295017561,0.07547422933081788,GPT,CHOCLO,pais
bolivia,0.455146594842275,15,True,,0.37925773034493127,0.5415803881486256,0.08116132890184719,GPT,CHOCLO,pais
argentina,0.6600413095826904,15,True,,0.5482855607072513,0.7741273843171075,0.11292091180492808,Claude,CHOCLO,pais
venezuela,0.6341927508513133,15,True,,0.543953814432025,0.7171847296257814,0.08661545759687822,Claude,CHOCLO,pais
republica dominicana,0.630109137793382,15,True,,0.5364939529200394,0.713585043946902,0.0885455455134313,Claude,CHOCLO,pais
chile,0.6277568479379018,15,True,,0.5349268666903177,0.7202328346172968,0.09265298396348953,Claude,CHOCLO,pais
panama,0.6267907559871674,15,True,,0.5508751513063908,0.7042808170616627,0.07670283287763596,Claude,CHOCLO,pais
honduras,0.6009204606215159,15,True,,0.5021976518630982,0.684975851252675,0.09138909969478842,Claude,CHOCLO,pais
colombia,0.5682633896668752,15,True,,0.47679951036969825,0.6659368328750134,0.09456866125265756,Claude,CHOCLO,pais
nicaragua,0.5675214231014252,15,True,,0.48239431468149024,0.6558114939928055,0.08670858965565761,Claude,CHOCLO,pais
ecuador,0.5585712065299352,15,True,,0.4866961117088795,0.6396357916792234,0.07646983998517193,Claude,CHOCLO,pais
uruguay,0.5579797754685084,15,True,,0.47108150959014894,0.6595189182957013,0.09421870435277618,Claude,CHOCLO,pais
guatemala,0.5549943486849467,15,True,,0.47383068983753523,0.6386377813915413,0.08240354577700301,Claude,CHOCLO,pais
paraguay,0.5434083233277003,15,True,,0.4482231784860293,0.6247923154383898,0.08828456847618024,Claude,CHOCLO,pais
mexico,0.5259127775828044,15,True,,0.43714177971084917,0.6195003787676493,0.09117929952840007,Claude,CHOCLO,pais
costa rica,0.5238184933861096,15,True,,0.43875213116407397,0.6128407680119077,0.08704431842391686,Claude,CHOCLO,pais
cuba,0.5123660147190094,15,True,,0.42028366903464,0.5969065661231677,0.08831144854426387,Claude,CHOCLO,pais
el salvador,0.5042885879675547,15,True,,0.4340210558970769,0.5772586295505365,0.07161878682672981,Claude,CHOCLO,pais
bolivia,0.4970348874727885,15,True,,0.422391065855821,0.5705650278429191,0.07408698099354905,Claude,CHOCLO,pais
peru,0.4725402275721232,15,True,,0.3630505964656671,0.5794098261992137,0.10817961486677327,Claude,CHOCLO,pais
