pais,mae,n_preguntas,confiable,nota,mae_ci_lower,mae_ci_upper,mae_margin,method,config,group_level
chile,0.6445619404315949,15,True,,0.5608030173679193,0.7331608310341835,0.08617890683313212,GPT,CHOCLO,pais
argentina,0.6438265275210142,15,True,,0.5615325948347648,0.7348159323415409,0.08664166875338802,GPT,CHOCLO,pais
guatemala,0.6376243352890014,15,True,,0.5819963644941648,0.6945630748569965,0.05628335518141586,GPT,CHOCLO,pais
venezuela,0.600542937964201,15,True,,0.4956316723798712,0.7045264366207024,0.10444738212041557,GPT,CHOCLO,pais
panama,0.5972031945983569,15,True,,0.48280874171604715,0.7161176856855551,0.11665447198475398,GPT,CHOCLO,pais
nicaragua,0.5760372459888459,15,True,,0.48437900106112164,0.6691064721345902,0.09236373553673427,GPT,CHOCLO,pais
honduras,0.5666989346345266,15,True,,0.46454520970582963,0.6579918543497721,0.09672332232197126,GPT,CHOCLO,pais
republica dominicana,0.5297028576334317,15,True,,0.43581622043003637,0.6178011274337769,0.09099245350187027,GPT,CHOCLO,pais
uruguay,0.5290762652953466,15,True,,0.4473474274327358,0.632117040331165,0.0923848064492146,GPT,CHOCLO,pais
cuba,0.5258759054044883,15,True,,0.40094470952947936,0.6394719137934346,0.11926360213197762,GPT,CHOCLO,pais
peru,0.5147229154904683,15,True,,0.4216075352331003,0.6106429727872212,0.09451771877706047,GPT,CHOCLO,pais
paraguay,0.5011588315169017,15,True,,0.41919839094082517,0.5803941584130128,0.0805978837360938,GPT,CHOCLO,pais
ecuador,0.50098028977712,15,True,,0.4339897971848647,0.5741554478307564,0.07008282532294588,GPT,CHOCLO,pais
mexico,0.499759179353714,15,True,,0.3900588889916738,0.6072618089616298,0.10860145998497803,GPT,CHOCLO,pais
colombia,0.496924509977301,15,True,,0.3979509907712539,0.5991329028302183,0.10059095602948218,GPT,CHOCLO,pais
costa rica,0.49248165686925255,15,True,,0.3729336709280809,0.6093669487039248,0.11821663888792197,GPT,CHOCLO,pais
el salvador,0.4842022160689036,15,True,,0.41243757084012034,0.5633860295017561,0.07547422933081788,GPT,CHOCLO,pais
bolivia,0.455146594842275,15,True,,0.37925773034493127,0.5415803881486256,0.08116132890184719,GPT,CHOCLO,pais
argentina,0.6600413095826904,15,True,,0.5482855607072513,0.7741273843171075,0.11292091180492808,Claude,CHOCLO,pais
venezuela,0.6341927508513133,15,True,,0.543953814432025,0.7171847296257814,0.08661545759687822,Claude,CHOCLO,pais
republica dominicana,0.630109137793382,15,True,,0.5364939529200394,0.713585043946902,0.0885455455134313,Claude,CHOCLO,pais
chile,0.6277568479379018,15,True,,0.5349268666903177,0.7202328346172968,0.09265298396348953,Claude,CHOCLO,pais
panama,0.6267907559871674,15,True,,0.5508751513063908,0.7042808170616627,0.07670283287763596,Claude,CHOCLO,pais
honduras,0.6009204606215159,15,True,,0.5021976518630982,0.684975851252675,0.09138909969478842,Claude,CHOCLO,pais
colombia,0.5682633896668752,15,True,,0.47679951036969825,0.6659368328750134,0.09456866125265756,Claude,CHOCLO,pais
nicaragua,0.5675214231014252,15,True,,0.48239431468149024,0.6558114939928055,0.08670858965565761,Claude,CHOCLO,pais
ecuador,0.5585712065299352,15,True,,0.4866961117088795,0.6396357916792234,0.07646983998517193,Claude,CHOCLO,pais
uruguay,0.5579797754685084,15,True,,0.47108150959014894,0.6595189182957013,0.09421870435277618,Claude,CHOCLO,pais
guatemala,0.5549943486849467,15,True,,0.47383068983753523,0.6386377813915413,0.08240354577700301,Claude,CHOCLO,pais
paraguay,0.5434083233277003,15,True,,0.4482231784860293,0.6247923154383898,0.08828456847618024,Claude,CHOCLO,pais
mexico,0.5259127775828044,15,True,,0.43714177971084917,0.6195003787676493,0.09117929952840007,Claude,CHOCLO,pais
costa rica,0.5238184933861096,15,True,,0.43875213116407397,0.6128407680119077,0.08704431842391686,Claude,CHOCLO,pais
cuba,0.5123660147190094,15,True,,0.42028366903464,0.5969065661231677,0.08831144854426387,Claude,CHOCLO,pais
el salvador,0.5042885879675547,15,True,,0.4340210558970769,0.5772586295505365,0.07161878682672981,Claude,CHOCLO,pais
bolivia,0.4970348874727885,15,True,,0.422391065855821,0.5705650278429191,0.07408698099354905,Claude,CHOCLO,pais
peru,0.4725402275721232,15,True,,0.3630505964656671,0.5794098261992137,0.10817961486677327,Claude,CHOCLO,pais
chile,0.5442514632587082,15,True,,0.4604925401950325,0.6328503538612968,0.08617890683313217,GPT_post,CHOCLO,pais
panama,0.5442514632587082,15,True,,0.42985701037639845,0.6631659543459064,0.11665447198475398,GPT_post,CHOCLO,pais
venezuela,0.5442514632587082,15,True,,0.4393401976743784,0.6482349619152096,0.1044473821204156,GPT_post,CHOCLO,pais
costa rica,0.5442514632587081,15,True,,0.4247034773175365,0.6611367550933802,0.11821663888792186,GPT_post,CHOCLO,pais
nicaragua,0.5442514632587081,15,True,,0.45259321833098387,0.6373206894044524,0.09236373553673427,GPT_post,CHOCLO,pais
argentina,0.544251463258708,15,True,,0.46195753057245853,0.6352408680792347,0.0866416687533881,GPT_post,CHOCLO,pais
bolivia,0.544251463258708,15,True,,0.4683625987613642,0.6306852565650586,0.08116132890184719,GPT_post,CHOCLO,pais
cuba,0.544251463258708,15,True,,0.419320267383699,0.6578474716476544,0.11926360213197773,GPT_post,CHOCLO,pais
ecuador,0.544251463258708,15,True,,0.47726097066645273,0.6174266213123444,0.07008282532294582,GPT_post,CHOCLO,pais
mexico,0.544251463258708,15,True,,0.4345511728966677,0.6517540928666238,0.10860145998497803,GPT_post,CHOCLO,pais
paraguay,0.544251463258708,15,True,,0.4622910226826314,0.6234867901548192,0.08059788373609392,GPT_post,CHOCLO,pais
peru,0.544251463258708,15,True,,0.45113608300133995,0.6401715205554611,0.09451771877706058,GPT_post,CHOCLO,pais
uruguay,0.544251463258708,15,True,,0.46252262539609723,0.6472922382945265,0.09238480644921465,GPT_post,CHOCLO,pais
colombia,0.5442514632587078,15,True,,0.44527794405266075,0.6464598561116254,0.10059095602948231,GPT_post,CHOCLO,pais
el salvador,0.5442514632587078,15,True,,0.47248681802992454,0.6234352766915603,0.07547422933081788,GPT_post,CHOCLO,pais
guatemala,0.5442514632587078,15,True,,0.48862349246387116,0.6011902028267029,0.05628335518141586,GPT_post,CHOCLO,pais
honduras,0.5442514632587078,15,True,,0.4420977383300109,0.6355443829739534,0.09672332232197126,GPT_post,CHOCLO,pais
republica dominicana,0.5442514632587077,15,True,,0.4503648260553123,0.6323497330590528,0.09099245350187027,GPT_post,CHOCLO,pais
colombia,0.5648061510140975,15,True,,0.47334227171692045,0.6624795942222353,0.09456866125265745,Claude_post,CHOCLO,pais
costa rica,0.5648061510140975,15,True,,0.4797397887920617,0.6538284256398953,0.0870443184239168,Claude_post,CHOCLO,pais
el salvador,0.5648061510140975,15,True,,0.49453861894361956,0.637776192597079,0.0716187868267297,Claude_post,CHOCLO,pais
guatemala,0.5648061510140975,15,True,,0.4836424921666859,0.6484495837206917,0.0824035457770029,Claude_post,CHOCLO,pais
honduras,0.5648061510140975,15,True,,0.4660833422556797,0.6488615416452566,0.09138909969478842,Claude_post,CHOCLO,pais
panama,0.5648061510140975,15,True,,0.48889054633332085,0.6422962120885928,0.07670283287763596,Claude_post,CHOCLO,pais
paraguay,0.5648061510140975,15,True,,0.46962100617242636,0.6461901431247866,0.08828456847618013,Claude_post,CHOCLO,pais
cuba,0.5648061510140974,15,True,,0.4727238053297279,0.6493467024182557,0.08831144854426387,Claude_post,CHOCLO,pais
mexico,0.5648061510140974,15,True,,0.47603515314214206,0.6583937521989424,0.09117929952840015,Claude_post,CHOCLO,pais
nicaragua,0.5648061510140974,15,True,,0.47967904259416233,0.6530962219054778,0.08670858965565773,Claude_post,CHOCLO,pais
venezuela,0.5648061510140974,15,True,,0.47456721459480894,0.6477981297885654,0.08661545759687825,Claude_post,CHOCLO,pais
chile,0.5648061510140973,15,True,,0.4719761697665132,0.6572821376934922,0.0926529839634895,Claude_post,CHOCLO,pais
ecuador,0.5648061510140973,15,True,,0.49293105619304156,0.6458707361633855,0.07646983998517198,Claude_post,CHOCLO,pais
peru,0.5648061510140973,15,True,,0.45531651990764105,0.6716757496411878,0.10817961486677338,Claude_post,CHOCLO,pais
republica dominicana,0.5648061510140973,15,True,,0.47119096614075473,0.6482820571676172,0.08854554551343125,Claude_post,CHOCLO,pais
uruguay,0.5648061510140973,15,True,,0.4779078851357377,0.6663452938412903,0.0942187043527763,Claude_post,CHOCLO,pais
