method,category,mae_mean,mae_median,n_cells,n_preguntas_total,n_confiable
Claude,object,0.6114566930466228,0.6281489729881287,18,18,0
Claude,public_figure,0.6038599039117495,0.5472270250320435,9,9,0
Claude,tradition,0.5802477786589103,0.5835719704627991,48,48,0
Claude,fauna,0.5770554384216666,0.5850213915109634,48,48,0
Claude,dish,0.5656123226163564,0.562853068113327,54,54,0
Claude,geography,0.5602230577200067,0.5602391958236694,51,51,0
Claude,flora,0.5093263185450009,0.5149596780538559,42,42,0
GPT,public_figure,0.6448862707863251,0.6035430431365967,9,9,0
GPT,object,0.5735538059638606,0.5613257139921188,18,18,0
GPT,dish,0.5645829014894035,0.5510312914848328,54,54,0
GPT,tradition,0.546546106110327,0.5530835092067719,48,48,0
GPT,fauna,0.5327487868101647,0.4803849160671234,48,48,0
GPT,geography,0.5264086510036506,0.5228890776634216,51,51,0
GPT,flora,0.5161780331815992,0.5049781501293182,42,42,0
