category,mae,n_preguntas,confiable,nota,mae_ci_lower,mae_ci_upper,mae_margin,method,config,group_level
public_figure,0.6448862707863251,9,True,,0.524698971103256,0.7740095930380952,0.12465531096741961,GPT,CHOCLO,category
object,0.5735538059638606,18,True,,0.49640711845002244,0.6508451433645354,0.07721901245725646,GPT,CHOCLO,category
dish,0.5645829014894035,54,True,,0.501695006697749,0.6222821765010141,0.06029358490163256,GPT,CHOCLO,category
tradition,0.546546106110327,48,True,,0.4816364120032328,0.6067938320707373,0.06257871003375226,GPT,CHOCLO,category
fauna,0.5327487868101647,48,True,,0.4778253656171728,0.5898868641854884,0.0560307492841578,GPT,CHOCLO,category
geography,0.5264086510036506,51,True,,0.4719291585917566,0.5792886835468166,0.05367976247753001,GPT,CHOCLO,category
flora,0.5161780331815992,42,True,,0.4716187730786346,0.5581182317187389,0.04324972932005214,GPT,CHOCLO,category
object,0.6114566930466228,18,True,,0.5482543889019225,0.6722971597065528,0.062021385402315166,Claude,CHOCLO,category
public_figure,0.6038599039117495,9,True,,0.4996494541565577,0.7187860352504585,0.10956829054695039,Claude,CHOCLO,category
tradition,0.5802477786589103,48,True,,0.5195909325746471,0.6397645332603132,0.06008680034283309,Claude,CHOCLO,category
fauna,0.5770554384216666,48,True,,0.524756834943158,0.6242966714004676,0.04976991822865484,Claude,CHOCLO,category
dish,0.5656123226163564,54,True,,0.5145389766397851,0.6118410854117461,0.0486510543859805,Claude,CHOCLO,category
geography,0.5602230577200067,51,True,,0.5086348717557448,0.6146108517423272,0.052987989993291185,Claude,CHOCLO,category
flora,0.5093263185450009,42,True,,0.46186834999493187,0.5571580267999144,0.047644838402491285,Claude,CHOCLO,category
