category,mae,n_preguntas,confiable,nota,mae_ci_lower,mae_ci_upper,mae_margin,method,config,group_level
public_figure,0.6448862707863251,9,True,,0.524698971103256,0.7740095930380952,0.12465531096741961,GPT,CHOCLO,category
object,0.5735538059638606,18,True,,0.49640711845002244,0.6508451433645354,0.07721901245725646,GPT,CHOCLO,category
dish,0.5645829014894035,54,True,,0.501695006697749,0.6222821765010141,0.06029358490163256,GPT,CHOCLO,category
tradition,0.546546106110327,48,True,,0.4816364120032328,0.6067938320707373,0.06257871003375226,GPT,CHOCLO,category
fauna,0.5327487868101647,48,True,,0.4778253656171728,0.5898868641854884,0.0560307492841578,GPT,CHOCLO,category
geography,0.5264086510036506,51,True,,0.4719291585917566,0.5792886835468166,0.05367976247753001,GPT,CHOCLO,category
flora,0.5161780331815992,42,True,,0.4716187730786346,0.5581182317187389,0.04324972932005214,GPT,CHOCLO,category
object,0.6114566930466228,18,True,,0.5482543889019225,0.6722971597065528,0.062021385402315166,Claude,CHOCLO,category
public_figure,0.6038599039117495,9,True,,0.4996494541565577,0.7187860352504585,0.10956829054695039,Claude,CHOCLO,category
tradition,0.5802477786589103,48,True,,0.5195909325746471,0.6397645332603132,0.06008680034283309,Claude,CHOCLO,category
fauna,0.5770554384216666,48,True,,0.524756834943158,0.6242966714004676,0.04976991822865484,Claude,CHOCLO,category
dish,0.5656123226163564,54,True,,0.5145389766397851,0.6118410854117461,0.0486510543859805,Claude,CHOCLO,category
geography,0.5602230577200067,51,True,,0.5086348717557448,0.6146108517423272,0.052987989993291185,Claude,CHOCLO,category
flora,0.5093263185450009,42,True,,0.46186834999493187,0.5571580267999144,0.047644838402491285,Claude,CHOCLO,category
public_figure,0.6569267189613095,9,True,,0.5445767511251486,0.7934659682390177,0.12444460855693457,GPT_post,CHOCLO,category
object,0.5754314514773865,18,True,,0.49980359544770586,0.6516517700679186,0.07592408731010639,GPT_post,CHOCLO,category
dish,0.5645829014894036,54,True,,0.5073424338296425,0.619242801240151,0.05595018370525423,GPT_post,CHOCLO,category
tradition,0.5444883458928585,48,True,,0.4831084509220199,0.6033747680128027,0.06013315854539136,GPT_post,CHOCLO,category
fauna,0.5363249021496073,48,True,,0.48413003173518787,0.5874554339510872,0.05166270110794968,GPT_post,CHOCLO,category
geography,0.5237914578327687,51,True,,0.47265075406566887,0.5755443321348194,0.05144678903457525,GPT_post,CHOCLO,category
flora,0.5142359892064066,42,True,,0.47350459656813654,0.554753960285597,0.04062468185873022,GPT_post,CHOCLO,category
public_figure,0.6043143465666584,9,True,,0.5076713246983234,0.7096619580279069,0.10099531666479172,Claude_post,CHOCLO,category
object,0.5974662173504907,18,True,,0.5365777203281996,0.6516263559840068,0.05752431782790357,Claude_post,CHOCLO,category
tradition,0.5810517068141726,48,True,,0.5216343222746487,0.6394254089264668,0.05889554332590907,Claude_post,CHOCLO,category
fauna,0.5796524927490045,48,True,,0.5273449059251235,0.6294891448678983,0.0510721194713874,Claude_post,CHOCLO,category
dish,0.5656123226163564,54,True,,0.5189483127157767,0.6075986495846308,0.044325168434427076,Claude_post,CHOCLO,category
geography,0.5579352122240483,51,True,,0.5087218043028756,0.6095424167074319,0.050410306202278155,Claude_post,CHOCLO,category
flora,0.5141161171108406,42,True,,0.47144490256420185,0.5547393328728519,0.04164721515432504,Claude_post,CHOCLO,category
