pais,model,n_worst,n_dish,n_tradition,n_public_figure,n_geography,n_flora,n_fauna,n_object,category_breakdown
argentina,Claude,5,1,1,0,2,0,1,0,"2 geography, 1 dish, 1 fauna, 1 tradition"
bolivia,Claude,5,0,1,1,2,0,1,0,"2 geography, 1 fauna, 1 public_figure, 1 tradition"
chile,Claude,5,1,2,1,1,0,0,0,"2 tradition, 1 dish, 1 geography, 1 public_figure"
colombia,Claude,5,1,2,1,0,0,1,0,"2 tradition, 1 dish, 1 fauna, 1 public_figure"
costa rica,Claude,5,0,2,0,1,1,1,0,"2 tradition, 1 fauna, 1 flora, 1 geography"
cuba,Claude,5,0,0,0,1,1,2,1,"2 fauna, 1 flora, 1 geography, 1 object"
ecuador,Claude,5,0,2,0,1,0,2,0,"2 fauna, 2 tradition, 1 geography"
el salvador,Claude,5,1,2,0,1,0,1,0,"2 tradition, 1 dish, 1 fauna, 1 geography"
guatemala,Claude,5,2,0,0,1,0,2,0,"2 dish, 2 fauna, 1 geography"
honduras,Claude,5,2,0,0,1,1,1,0,"2 dish, 1 fauna, 1 flora, 1 geography"
mexico,Claude,5,0,1,0,0,1,1,2,"2 object, 1 fauna, 1 flora, 1 tradition"
nicaragua,Claude,5,1,1,0,1,1,1,0,"1 dish, 1 fauna, 1 flora, 1 geography, 1 tradition"
panama,Claude,5,1,0,0,1,0,2,1,"2 fauna, 1 dish, 1 geography, 1 object"
paraguay,Claude,5,0,2,0,1,0,0,2,"2 object, 2 tradition, 1 geography"
peru,Claude,5,1,0,0,0,2,2,0,"2 fauna, 2 flora, 1 dish"
republica dominicana,Claude,5,3,0,0,0,1,1,0,"3 dish, 1 fauna, 1 flora"
uruguay,Claude,5,1,2,0,1,0,1,0,"2 tradition, 1 dish, 1 fauna, 1 geography"
venezuela,Claude,5,1,1,0,0,0,1,2,"2 object, 1 dish, 1 fauna, 1 tradition"
argentina,GPT,5,1,2,0,2,0,0,0,"2 geography, 2 tradition, 1 dish"
bolivia,GPT,5,2,0,2,1,0,0,0,"2 dish, 2 public_figure, 1 geography"
chile,GPT,5,1,1,1,1,1,0,0,"1 dish, 1 flora, 1 geography, 1 public_figure, 1 tradition"
colombia,GPT,5,1,2,2,0,0,0,0,"2 public_figure, 2 tradition, 1 dish"
costa rica,GPT,5,0,1,0,2,1,1,0,"2 geography, 1 fauna, 1 flora, 1 tradition"
cuba,GPT,5,1,0,0,1,1,1,1,"1 dish, 1 fauna, 1 flora, 1 geography, 1 object"
ecuador,GPT,5,1,1,0,1,0,2,0,"2 fauna, 1 dish, 1 geography, 1 tradition"
el salvador,GPT,5,2,2,0,1,0,0,0,"2 dish, 2 tradition, 1 geography"
guatemala,GPT,5,2,1,0,0,0,2,0,"2 dish, 2 fauna, 1 tradition"
honduras,GPT,5,1,1,0,1,2,0,0,"2 flora, 1 dish, 1 geography, 1 tradition"
mexico,GPT,5,1,1,0,0,1,1,1,"1 dish, 1 fauna, 1 flora, 1 object, 1 tradition"
nicaragua,GPT,5,1,1,0,1,0,2,0,"2 fauna, 1 dish, 1 geography, 1 tradition"
panama,GPT,5,1,0,0,1,0,2,1,"2 fauna, 1 dish, 1 geography, 1 object"
paraguay,GPT,5,0,2,0,0,0,0,3,"3 object, 2 tradition"
peru,GPT,5,1,0,0,0,1,3,0,"3 fauna, 1 dish, 1 flora"
republica dominicana,GPT,5,2,0,0,1,0,1,1,"2 dish, 1 fauna, 1 geography, 1 object"
uruguay,GPT,5,2,2,0,0,0,1,0,"2 dish, 2 tradition, 1 fauna"
venezuela,GPT,5,1,1,0,0,0,1,2,"2 object, 1 dish, 1 fauna, 1 tradition"
