method,pais_rank_by_mae,pais,mae_observed,mae_composition_residual,hard_category_overrepresentation,n_hard_category_questions,mean_global_mae_of_hard_categories_present,global_median_category_mae
Claude,1,argentina,0.6600413095826904,0.10154832639030209,-0.0111111111111111,3,0.5802477786589103,0.5770554384216666
Claude,2,venezuela,0.6341927508513133,0.05527369275860072,-0.0111111111111111,3,0.5802477786589103,0.5770554384216666
Claude,3,republica dominicana,0.630109137793382,0.06537437172345129,-0.2111111111111111,0,,0.5770554384216666
Claude,4,chile,0.6277568479379018,0.06390297164749692,0.1888888888888889,6,0.5920538412853299,0.5770554384216666
Claude,5,panama,0.6267907559871674,0.04787169789445478,-0.0111111111111111,3,0.5802477786589103,0.5770554384216666
GPT,1,chile,0.6445619404315949,0.08484154791733378,0.1888888888888889,6,0.595716188448326,0.546546106110327
GPT,2,argentina,0.6438265275210142,0.10653363180198527,-0.0111111111111111,3,0.546546106110327,0.546546106110327
GPT,3,guatemala,0.6376243352890014,0.10033143956997248,-0.0111111111111111,3,0.546546106110327,0.546546106110327
GPT,4,venezuela,0.600542937964201,0.05177488768871974,-0.0111111111111111,3,0.546546106110327,0.546546106110327
GPT,5,panama,0.5972031945983569,0.048435144322875656,-0.0111111111111111,3,0.546546106110327,0.546546106110327
